sciName,comName
Tinamus tao,Gray Tinamou
Tinamus major,Great Tinamou
Tinamus guttatus,White-throated Tinamou
Crypturellus cinereus,Cinereous Tinamou
Crypturellus soui,Little Tinamou
Crypturellus undulatus,Undulated Tinamou
Crypturellus strigulosus,Brazilian Tinamou
Crypturellus duidae,Gray-legged Tinamou
Crypturellus erythropus,Red-legged Tinamou
Crypturellus atrocapillus,Black-capped Tinamou
Crypturellus variegatus,Variegated Tinamou
Crypturellus bartletti,Bartlett's Tinamou
Crypturellus parvirostris,Small-billed Tinamou
Rhynchotus rufescens,Red-winged Tinamou
Anhima cornuta,Horned Screamer
Dendrocygna viduata,White-faced Whistling-Duck
Dendrocygna autumnalis,Black-bellied Whistling-Duck
Oressochen jubatus,Orinoco Goose
Cairina moschata,Muscovy Duck
Amazonetta brasiliensis,Brazilian Teal
Anas platyrhynchos,Mallard
Ortalis guttata,Speckled Chachalaca
Ortalis motmot,Variable Chachalaca
Penelope marail,Marail Guan
Penelope superciliaris,Rusty-margined Guan
Penelope jacquacu,Spix's Guan
Pipile cumanensis,Blue-throated Piping-Guan
Pipile cujubi,Red-throated Piping-Guan
Nothocrax urumutum,Nocturnal Curassow
Mitu tomentosum,Crestless Curassow
Mitu tuberosum,Razor-billed Curassow
Crax alector,Black Curassow
Numida meleagris,Helmeted Guineafowl
Odontophorus gujanensis,Marbled Wood-Quail
Odontophorus stellatus,Starred Wood-Quail
Gallus gallus,Red Junglefowl
Tachybaptus dominicus,Least Grebe
Columba livia,Rock Pigeon
Patagioenas cayennensis,Pale-vented Pigeon
Patagioenas speciosa,Scaled Pigeon
Patagioenas picazuro,Picazuro Pigeon
Patagioenas plumbea,Plumbeous Pigeon
Patagioenas subvinacea,Ruddy Pigeon
Columbina passerina,Common Ground Dove
Columbina minuta,Plain-breasted Ground Dove
Columbina talpacoti,Ruddy Ground Dove
Claravis pretiosa,Blue Ground Dove
Geotrygon montana,Ruddy Quail-Dove
Leptotila verreauxi,White-tipped Dove
Leptotila rufaxilla,Gray-fronted Dove
Zenaida auriculata,Eared Dove
Guira guira,Guira Cuckoo
Crotophaga major,Greater Ani
Crotophaga ani,Smooth-billed Ani
Tapera naevia,Striped Cuckoo
Dromococcyx phasianellus,Pheasant Cuckoo
Dromococcyx pavoninus,Pavonine Cuckoo
Neomorphus geoffroyi,Rufous-vented Ground-Cuckoo
Coccycua minuta,Little Cuckoo
Coccycua cinerea,Ash-colored Cuckoo
Piaya cayana,Squirrel Cuckoo
Piaya melanogaster,Black-bellied Cuckoo
Coccyzus melacoryphus,Dark-billed Cuckoo
Coccyzus americanus,Yellow-billed Cuckoo
Coccyzus euleri,Pearly-breasted Cuckoo
Chordeiles nacunda,Nacunda Nighthawk
Chordeiles pusillus,Least Nighthawk
Chordeiles acutipennis,Lesser Nighthawk
Chordeiles minor,Common Nighthawk
Lurocalis semitorquatus,Short-tailed Nighthawk
Nyctiprogne leucopyga,Band-tailed Nighthawk
Nyctipolus nigrescens,Blackish Nightjar
Nyctidromus albicollis,Common Pauraque
Setopagis parvula,Little Nightjar
Hydropsalis cayennensis,White-tailed Nightjar
Hydropsalis maculicaudus,Spot-tailed Nightjar
Hydropsalis climacocerca,Ladder-tailed Nightjar
Hydropsalis torquata,Scissor-tailed Nightjar
Nyctiphrynus ocellatus,Ocellated Poorwill
Antrostomus rufus,Rufous Nightjar
Nyctibius grandis,Great Potoo
Nyctibius aethereus,Long-tailed Potoo
Nyctibius griseus,Common Potoo
Nyctibius leucopterus,White-winged Potoo
Cypseloides niger,Black Swift
Streptoprocne zonaris,White-collared Swift
Chaetura cinereiventris,Gray-rumped Swift
Chaetura spinicaudus,Band-rumped Swift
Chaetura pelagica,Chimney Swift
Chaetura chapmani,Chapman's Swift
Chaetura brachyura,Short-tailed Swift
Tachornis squamata,Fork-tailed Palm Swift
Topaza pella,Crimson Topaz
Topaza pyra,Fiery Topaz
Florisuga mellivora,White-necked Jacobin
Glaucis hirsutus,Rufous-breasted Hermit
Threnetes leucurus,Pale-tailed Barbthroat
Phaethornis hispidus,White-bearded Hermit
Phaethornis bourcieri,Straight-billed Hermit
Phaethornis superciliosus,Long-tailed Hermit
Phaethornis malaris,Great-billed Hermit
Phaethornis rupurumii,Streak-throated Hermit
Phaethornis atrimentalis,Black-throated Hermit
Phaethornis ruber,Reddish Hermit
Heliothryx auritus,Black-eared Fairy
Polytmus theresiae,Green-tailed Goldenthroat
Chrysolampis mosquitus,Ruby-topaz Hummingbird
Anthracothorax nigricollis,Black-throated Mango
Heliomaster longirostris,Long-billed Starthroat
Chlorostilbon mellisugus,Blue-tailed Emerald
Campylopterus largipennis,Gray-breasted Sabrewing
Thalurania furcata,Fork-tailed Woodnymph
Eupetomena macroura,Swallow-tailed Hummingbird
Talaphorus chlorocercus,Olive-spotted Hummingbird
Chrysuronia versicolor,Versicolored Emerald
Chionomesa fimbriata,Glittering-throated Emerald
Hylocharis sapphirina,Rufous-throated Sapphire
Chlorestes cyanus,White-chinned Sapphire
Chlorestes notata,Blue-chinned Sapphire
Opisthocomus hoazin,Hoatzin
Mustelirallus albicollis,Ash-throated Crake
Mustelirallus erythrops,Paint-billed Crake
Aramides cajaneus,Gray-cowled Wood-Rail
Gallinula galeata,Common Gallinule
Porphyrio martinica,Purple Gallinule
Porphyrio flavirostris,Azure Gallinule
Anurolimnas fasciatus,Black-banded Crake
Laterallus melanophaius,Rufous-sided Crake
Laterallus exilis,Gray-breasted Crake
Heliornis fulica,Sungrebe
Aramus guarauna,Limpkin
Psophia crepitans,Gray-winged Trumpeter
Psophia leucoptera,Pale-winged Trumpeter
Psophia viridis,Dark-winged Trumpeter
Himantopus mexicanus,Black-necked Stilt
Pluvialis squatarola,Black-bellied Plover
Pluvialis dominica,American Golden-Plover
Charadrius semipalmatus,Semipalmated Plover
Vanellus chilensis,Southern Lapwing
Jacana jacana,Wattled Jacana
Bartramia longicauda,Upland Sandpiper
Limosa haemastica,Hudsonian Godwit
Gallinago paraguaiae,Pantanal Snipe
Actitis macularius,Spotted Sandpiper
Tringa solitaria,Solitary Sandpiper
Tringa flavipes,Lesser Yellowlegs
Tringa melanoleuca,Greater Yellowlegs
Arenaria interpres,Ruddy Turnstone
Calidris himantopus,Stilt Sandpiper
Calidris subruficollis,Buff-breasted Sandpiper
Calidris alba,Sanderling
Calidris fuscicollis,White-rumped Sandpiper
Calidris minutilla,Least Sandpiper
Calidris melanotos,Pectoral Sandpiper
Calidris pusilla,Semipalmated Sandpiper
Rynchops niger,Black Skimmer
Sternula superciliaris,Yellow-billed Tern
Phaetusa simplex,Large-billed Tern
Gelochelidon nilotica,Gull-billed Tern
Eurypyga helias,Sunbittern
Jabiru mycteria,Jabiru
Mycteria americana,Wood Stork
Anhinga anhinga,Anhinga
Nannopterum brasilianum,Neotropic Cormorant
Pelecanus occidentalis,Brown Pelican
Tigrisoma lineatum,Rufescent Tiger-Heron
Cochlearius cochlearius,Boat-billed Heron
Zebrilus undulatus,Zigzag Heron
Ixobrychus exilis,Least Bittern
Nycticorax nycticorax,Black-crowned Night Heron
Syrigma sibilatrix,Whistling Heron
Egretta caerulea,Little Blue Heron
Egretta thula,Snowy Egret
Butorides striata,Striated Heron
Bubulcus ibis,Western Cattle Egret
Ardea alba,Great Egret
Ardea cocoi,Cocoi Heron
Mesembrinibis cayennensis,Green Ibis
Theristicus caudatus,Buff-necked Ibis
Platalea ajaja,Roseate Spoonbill
Coragyps atratus,Black Vulture
Cathartes aura,Turkey Vulture
Pandion haliaetus,Osprey
Gampsonyx swainsonii,Pearl Kite
Chondrohierax uncinatus,Hook-billed Kite
Leptodon cayanensis,Gray-headed Kite
Elanoides forficatus,Swallow-tailed Kite
Morphnus guianensis,Crested Eagle
Harpia harpyja,Harpy Eagle
Spizaetus tyrannus,Black Hawk-Eagle
Spizaetus ornatus,Ornate Hawk-Eagle
Spizaetus melanoleucus,Black-and-white Hawk-Eagle
Busarellus nigricollis,Black-collared Hawk
Rostrhamus sociabilis,Snail Kite
Helicolestes hamatus,Slender-billed Kite
Harpagus bidentatus,Double-toothed Kite
Harpagus diodon,Rufous-thighed Kite
Ictinia mississippiensis,Mississippi Kite
Ictinia plumbea,Plumbeous Kite
Accipiter poliogaster,Gray-bellied Hawk
Accipiter bicolor,Bicolored Hawk
Geranospiza caerulescens,Crane Hawk
Buteogallus schistaceus,Slate-colored Hawk
Buteogallus meridionalis,Savanna Hawk
Buteogallus urubitinga,Great Black Hawk
Rupornis magnirostris,Roadside Hawk
Geranoaetus albicaudatus,White-tailed Hawk
Pseudastur albicollis,White Hawk
Leucopternis melanops,Black-faced Hawk
Leucopternis kuhli,White-browed Hawk
Buteo nitidus,Gray-lined Hawk
Buteo platypterus,Broad-winged Hawk
Buteo brachyurus,Short-tailed Hawk
Buteo swainsoni,Swainson's Hawk
Buteo albonotatus,Zone-tailed Hawk
Tyto alba,Barn Owl
Megascops choliba,Tropical Screech-Owl
Megascops watsonii,Tawny-bellied Screech-Owl
Lophostrix cristata,Crested Owl
Pulsatrix perspicillata,Spectacled Owl
Bubo virginianus,Great Horned Owl
Glaucidium hardyi,Amazonian Pygmy-Owl
Glaucidium brasilianum,Ferruginous Pygmy-Owl
Athene cunicularia,Burrowing Owl
Asio clamator,Striped Owl
Asio stygius,Stygian Owl
Pharomachrus pavoninus,Pavonine Quetzal
Trogon melanurus,Black-tailed Trogon
Trogon viridis,Green-backed Trogon
Trogon violaceus,Guianan Trogon
Trogon ramonianus,Amazonian Trogon
Trogon curucui,Blue-crowned Trogon
Trogon rufus,Amazonian Black-throated Trogon
Trogon collaris,Collared Trogon
Momotus momota,Amazonian Motmot
Baryphthengus martii,Rufous Motmot
Electron platyrhynchum,Broad-billed Motmot
Megaceryle torquata,Ringed Kingfisher
Chloroceryle amazona,Amazon Kingfisher
Chloroceryle aenea,American Pygmy Kingfisher
Chloroceryle americana,Green Kingfisher
Chloroceryle inda,Green-and-rufous Kingfisher
Notharchus hyperrhynchus,White-necked Puffbird
Notharchus macrorhynchos,Guianan Puffbird
Notharchus ordii,Brown-banded Puffbird
Notharchus tectus,Pied Puffbird
Bucco macrodactylus,Chestnut-capped Puffbird
Bucco tamatia,Spotted Puffbird
Bucco capensis,Collared Puffbird
Nystalus obamai,Western Striolated-Puffbird
Nystalus striolatus,Eastern Striolated-Puffbird
Nystalus chacuru,White-eared Puffbird
Malacoptila fusca,White-chested Puffbird
Malacoptila semicincta,Semicollared Puffbird
Malacoptila rufa,Rufous-necked Puffbird
Micromonacha lanceolata,Lanceolated Monklet
Nonnula rubecula,Rusty-breasted Nunlet
Nonnula ruficapilla,Rufous-capped Nunlet
Monasa atra,Black Nunbird
Monasa nigrifrons,Black-fronted Nunbird
Monasa morphoeus,White-fronted Nunbird
Monasa flavirostris,Yellow-billed Nunbird
Chelidoptera tenebrosa,Swallow-winged Puffbird
Galbalcyrhynchus leucotis,White-eared Jacamar
Galbalcyrhynchus purusianus,Purus Jacamar
Brachygalba lugubris,Brown Jacamar
Galbula albirostris,Yellow-billed Jacamar
Galbula cyanicollis,Blue-cheeked Jacamar
Galbula ruficauda,Rufous-tailed Jacamar
Galbula galbula,Green-tailed Jacamar
Galbula tombacea,White-chinned Jacamar
Galbula cyanescens,Bluish-fronted Jacamar
Galbula chalcothorax,Purplish Jacamar
Galbula leucogastra,Bronzy Jacamar
Galbula dea,Paradise Jacamar
Jacamerops aureus,Great Jacamar
Capito aurovirens,Scarlet-crowned Barbet
Capito dayi,Black-girdled Barbet
Capito niger,Black-spotted Barbet
Capito auratus,Gilded Barbet
Eubucco richardsoni,Lemon-throated Barbet
Pteroglossus inscriptus,Lettered Aracari
Pteroglossus aracari,Black-necked Aracari
Pteroglossus castanotis,Chestnut-eared Aracari
Pteroglossus pluricinctus,Many-banded Aracari
Pteroglossus azara,Ivory-billed Aracari
Pteroglossus beauharnaisii,Curl-crested Aracari
Pteroglossus bitorquatus,Red-necked Aracari
Selenidera piperivora,Guianan Toucanet
Selenidera reinwardtii,Golden-collared Toucanet
Selenidera gouldii,Gould's Toucanet
Ramphastos toco,Toco Toucan
Ramphastos tucanus,White-throated Toucan
Ramphastos vitellinus,Channel-billed Toucan
Picumnus aurifrons,Bar-breasted Piculet
Picumnus lafresnayi,Lafresnaye's Piculet
Picumnus exilis,Golden-spangled Piculet
Melanerpes candidus,White Woodpecker
Melanerpes cruentatus,Yellow-tufted Woodpecker
Dryobates cassini,Golden-collared Woodpecker
Dryobates passerinus,Little Woodpecker
Dryobates affinis,Red-stained Woodpecker
Campephilus rubricollis,Red-necked Woodpecker
Campephilus melanoleucos,Crimson-crested Woodpecker
Dryocopus lineatus,Lineated Woodpecker
Celeus torquatus,Ringed Woodpecker
Celeus undatus,Waved Woodpecker
Celeus flavus,Cream-colored Woodpecker
Celeus spectabilis,Rufous-headed Woodpecker
Celeus elegans,Chestnut Woodpecker
Piculus leucolaemus,White-throated Woodpecker
Piculus flavigula,Yellow-throated Woodpecker
Piculus chrysochloros,Golden-green Woodpecker
Colaptes punctigula,Spot-breasted Woodpecker
Herpetotheres cachinnans,Laughing Falcon
Micrastur buckleyi,Buckley's Forest-Falcon
Micrastur semitorquatus,Collared Forest-Falcon
Micrastur mirandollei,Slaty-backed Forest-Falcon
Micrastur ruficollis,Barred Forest-Falcon
Micrastur mintoni,Cryptic Forest-Falcon
Micrastur gilvicollis,Lined Forest-Falcon
Caracara plancus,Crested Caracara
Ibycter americanus,Red-throated Caracara
Daptrius ater,Black Caracara
Falco sparverius,American Kestrel
Falco femoralis,Aplomado Falcon
Falco rufigularis,Bat Falcon
Falco deiroleucus,Orange-breasted Falcon
Falco peregrinus,Peregrine Falcon
Touit huetii,Scarlet-shouldered Parrotlet
Touit purpuratus,Sapphire-rumped Parrotlet
Brotogeris sanctithomae,Tui Parakeet
Brotogeris versicolurus,White-winged Parakeet
Brotogeris chiriri,Yellow-chevroned Parakeet
Brotogeris cyanoptera,Cobalt-winged Parakeet
Brotogeris chrysoptera,Golden-winged Parakeet
Pyrilia barrabandi,Orange-cheeked Parrot
Pyrilia caica,Caica Parrot
Pionus fuscus,Dusky Parrot
Pionus menstruus,Blue-headed Parrot
Graydidascalus brachyurus,Short-tailed Parrot
Amazona festiva,Festive Parrot
Amazona autumnalis,Red-lored Parrot
Amazona ochrocephala,Yellow-crowned Parrot
Amazona farinosa,Mealy Parrot
Amazona kawalli,Kawall's Parrot
Amazona amazonica,Orange-winged Parrot
Forpus modestus,Dusky-billed Parrotlet
Forpus passerinus,Green-rumped Parrotlet
Pionites melanocephalus,Black-headed Parrot
Pionites leucogaster,White-bellied Parrot
Deroptyus accipitrinus,Red-fan Parrot
Pyrrhura perlata,Crimson-bellied Parakeet
Pyrrhura picta,Painted Parakeet
Pyrrhura amazonum,Santarem Parakeet
Pyrrhura roseifrons,Rose-fronted Parakeet
Pyrrhura melanura,Maroon-tailed Parakeet
Eupsittula aurea,Peach-fronted Parakeet
Eupsittula pertinax,Brown-throated Parakeet
Aratinga weddellii,Dusky-headed Parakeet
Orthopsittaca manilatus,Red-bellied Macaw
Primolius couloni,Blue-headed Macaw
Ara ararauna,Blue-and-yellow Macaw
Ara severus,Chestnut-fronted Macaw
Ara macao,Scarlet Macaw
Ara chloropterus,Red-and-green Macaw
Guaruba guarouba,Golden Parakeet
Diopsittaca nobilis,Red-shouldered Macaw
Psittacara leucophthalmus,White-eyed Parakeet
Euchrepomis humeralis,Chestnut-shouldered Antwren
Euchrepomis spodioptila,Ash-winged Antwren
Cymbilaimus lineatus,Fasciated Antshrike
Cymbilaimus sanctaemariae,Bamboo Antshrike
Frederickena viridis,Black-throated Antshrike
Frederickena unduliger,Undulated Antshrike
Taraba major,Great Antshrike
Sakesphorus canadensis,Black-crested Antshrike
Sakesphorus luctuosus,Glossy Antshrike
Thamnophilus doliatus,Barred Antshrike
Thamnophilus palliatus,Chestnut-backed Antshrike
Thamnophilus schistaceus,Plain-winged Antshrike
Thamnophilus murinus,Mouse-colored Antshrike
Thamnophilus cryptoleucus,Castelnau's Antshrike
Thamnophilus nigrocinereus,Blackish-gray Antshrike
Thamnophilus punctatus,Northern Slaty-Antshrike
Thamnophilus stictocephalus,Natterer's Slaty-Antshrike
Thamnophilus aethiops,White-shouldered Antshrike
Thamnophilus amazonicus,Amazonian Antshrike
Megastictus margaritatus,Pearly Antshrike
Neoctantes niger,Black Bushbird
Thamnomanes ardesiacus,Dusky-throated Antshrike
Thamnomanes saturninus,Saturnine Antshrike
Thamnomanes caesius,Cinereous Antshrike
Thamnomanes schistogynus,Bluish-slate Antshrike
Isleria hauxwelli,Plain-throated Antwren
Isleria guttata,Rufous-bellied Antwren
Pygiptila stellaris,Spot-winged Antshrike
Epinecrophylla gutturalis,Brown-bellied Stipplethroat
Epinecrophylla leucophthalma,White-eyed Stipplethroat
Epinecrophylla haematonota,Rufous-backed Stipplethroat
Epinecrophylla amazonica,Rio Madeira Stipplethroat
Epinecrophylla ornata,Ornate Stipplethroat
Epinecrophylla erythrura,Rufous-tailed Stipplethroat
Myrmotherula brachyura,Pygmy Antwren
Myrmotherula ignota,Moustached Antwren
Myrmotherula ambigua,Yellow-throated Antwren
Myrmotherula sclateri,Sclater's Antwren
Myrmotherula multostriata,Amazonian Streaked-Antwren
Myrmotherula cherriei,Cherrie's Antwren
Myrmotherula klagesi,Klages's Antwren
Myrmotherula axillaris,White-flanked Antwren
Myrmotherula longipennis,Long-winged Antwren
Myrmotherula iheringi,Ihering's Antwren
Myrmotherula menetriesii,Gray Antwren
Myrmotherula assimilis,Leaden Antwren
Dichrozona cincta,Banded Antbird
Herpsilochmus dorsimaculatus,Spot-backed Antwren
Herpsilochmus frater,Rusty-winged Antwren
Microrhopias quixensis,Dot-winged Antwren
Formicivora grisea,Southern White-fringed Antwren
Formicivora rufa,Rusty-backed Antwren
Drymophila devillei,Striated Antbird
Hypocnemis cantator,Guianan Warbling-Antbird
Hypocnemis flavescens,Imeri Warbling-Antbird
Hypocnemis peruviana,Peruvian Warbling-Antbird
Hypocnemis striata,Spix's Warbling-Antbird
Hypocnemis hypoxantha,Yellow-browed Antbird
Cercomacroides laeta,Willis's Antbird
Cercomacroides tyrannina,Dusky Antbird
Cercomacroides serva,Black Antbird
Cercomacroides nigrescens,Blackish Antbird
Cercomacroides fuscicauda,Riparian Antbird
Cercomacra manu,Manu Antbird
Cercomacra cinerascens,Gray Antbird
Myrmoborus leucophrys,White-browed Antbird
Myrmoborus lugubris,Ash-breasted Antbird
Myrmoborus myotherinus,Black-faced Antbird
Myrmoborus melanurus,Black-tailed Antbird
Hypocnemoides melanopogon,Black-chinned Antbird
Hypocnemoides maculicauda,Band-tailed Antbird
Myrmochanes hemileucus,Black-and-white Antbird
Sclateria naevia,Silvered Antbird
Percnostola rufifrons,Black-headed Antbird
Myrmelastes schistaceus,Slate-colored Antbird
